ville_depart;ville_arrivee;distance_train;distance_voiture;tarif_peage
Marseille;Le Tampon;0.0;10997.9;17.19
Marseille;Courbevoie;697.8;782.6;35.72
Marseille;Béziers;228.0;231.7;24.84
Marseille;La Rochelle;1133.7;828.3;47.09
Marseille;Rueil-Malmaison;702.5;780.8;35.72
Marseille;Cherbourg-en-Cotentin;980.9;1123.0;55.48
Marseille;Champigny-sur-Marne;697.5;781.2;35.72
Marseille;Pau;558.8;590.8;46.49
Marseille;Mérignac;601.0;649.7;41.37
Marseille;Saint-Maur-des-Fossés;696.4;776.1;35.72
Marseille;Antibes;157.8;180.9;4.8
Marseille;Fort-de-France;0.0;1803.6;29.0
Marseille;Ajaccio;0.0;591.5;15.1
Marseille;Cannes;148.9;171.8;4.05
Marseille;Saint-Nazaire;1058.0;1052.8;64.68
Marseille;Mamoudzou;0.0;10861.3;17.19
Marseille;Drancy;701.3;790.0;35.72
Marseille;Noisy-le-Grand;698.6;782.1;37.34
Marseille;Issy-les-Moulineaux;696.6;773.8;35.72
Marseille;Cergy;719.1;808.4;39.19
Marseille;Levallois-Perret;692.8;781.7;35.72
Marseille;Colmar;657.5;736.1;63.55
Marseille;Calais;927.5;1067.3;71.05
Marseille;Pessac;598.5;647.5;41.37
Marseille;Vénissieux;338.8;309.3;18.43
Marseille;Évry-Courcouronnes;714.2;743.4;35.72
Marseille;Clichy;0.0;783.4;35.72
Marseille;Valence;386.6;213.9;14.1
Marseille;Ivry-sur-Seine;694.0;770.9;35.72
Marseille;Bourges;908.3;648.0;42.12
Marseille;Quimper;1207.8;1219.3;64.68
Marseille;Cayenne;0.0;1803.6;29.0
Marseille;Antony;699.3;761.0;35.72
Marseille;Troyes;870.1;683.8;31.42
Marseille;La Seyne-sur-Mer;50.3;63.9;2.61
Marseille;Villeneuve-d'Ascq;888.0;1001.0;50.25
Marseille;Montauban;415.7;456.4;36.8
Marseille;Pantin;694.3;780.4;35.72
Marseille;Chambéry;384.5;365.8;33.17
Marseille;Niort;1069.1;825.8;47.8
Marseille;Neuilly-sur-Seine;0.0;780.9;35.72
Marseille;Sarcelles;704.3;802.1;35.72
Marseille;Le Blanc-Mesnil;703.0;793.0;35.72
Marseille;Maisons-Alfort;691.4;774.1;35.72
Marseille;Lorient;1146.1;1157.1;64.68
Marseille;Villejuif;0.0;766.9;35.72
Marseille;Saint-André;0.0;10997.9;17.19
Marseille;Fréjus;127.1;142.4;3.28
